Tag,Group
affirmative,agree
alright,agree
ok,agree
yeah,agree
yes,agree
beg,ask
beseech,ask
entreat,ask
implore,ask
please,ask
supplicate,ask
negative,disagree
no,disagree
oppose,disagree
refute,disagree
reject,disagree
enthusiastic,good
happy,good
rapturous,good
raring,good
rousing,good
warm,good
yoo-hoo,good
zestful,good
bow,greeting
call,greeting
hello,greeting
hey,greeting
hi,greeting
you,other
your,other
body language,self
I,self
me,self
my,self
myself,self
clear,tell
explain,tell
indicate,tell
present,tell
show,tell
not know,uncertain
unacquainted,uncertain
undetermined,uncertain
undiscovered,uncertain
unfamiliar,uncertain
unknown,uncertain
